"","long","lat","heuteVok","breitVok","wachsenVokStem","wachsenVokEnd","butter"
"1",7.35848,47.4405,"sonst","ei","V-short","a/o","Anke(n)"
"2",7.26347,47.46074,"e","ei","V-short","a/o","Butter"
"3",7.40773,47.46164,"i/ie","ei","V-short","e","Anke(n)/Butter"
"4",7.38095,47.46702,"e","ei","V-short","a/o","Anke(n)"
"5",7.44789,47.46978,"ei/ai","ei","V-short","a/o","Butter"
"6",7.3091,47.47235,"e","ei","V-short","a/o","Anke(n)"
"7",7.3665,47.47487,"e","ei","V-short","a/o","Anke(n)"
"8",7.33509,47.48234,"i/ie","ei","V-short","a/o","Anke(n)"
"9",7.24121,47.48531,"e","ei","V-short","a/o","Anke(n)"
"10",7.2816,47.48759,"e","ei","V-short","a/o","Anke(n)"
"11",7.39411,47.48862,"i/ie","ei","V-short","a/o","Anke(n)"
"12",7.39411,47.48862,"i/ie","ei","V-short","a/o","Anke(n)"
"13",7.39411,47.48862,"i/ie","ei","V-short","a/o","Anke(n)"
"14",7.39411,47.48862,"i/ie","ei","V-short","a/o","Anke(n)"
"15",7.48218,47.4954,"e","ei","V-short","a/o","Anke(n)"
"16",7.45821,47.49881,"e","ei","V-short","a/o","Anke(n)"
"17",7.16635,47.50105,"i/ie","ei","V-short","a/o","Anke(n)"
"18",7.25681,47.50213,"i/ie","ei","V-short","a/o","Anke(n)"
"19",7.30044,47.50327,"i/ie","ei","V-long","a/o","Anke(n)"
"20",7.30044,47.50327,"i/ie","ei","V-long","a/o","Anke(n)"
"21",7.30044,47.50327,"i/ie","ei","V-long","a/o","Anke(n)"
"22",7.30044,47.50327,"i/ie","ei","V-short","a/o","Anke(n)"
"23",7.30044,47.50327,"i/ie","ei","V-short","a/o","Anke(n)"
"24",7.30044,47.50327,"i/ie","ei","V-short","a/o","Anke(n)"
"25",7.30044,47.50327,"i/ie","ei","V-short","a/o","Anke(n)"
"26",7.30044,47.50327,"i/ie","ei","V-short","a/o","Anke(n)"
"27",7.30044,47.50327,"i/ie","ei","V-short","a/o","Anke(n)"
"28",7.38288,47.50419,"i/ie","ei","V-short","a/o","Anke(n)"
"29",7.34362,47.50479,"i/ie","ei","V-short","a/o","Anke(n)"
"30",7.27085,47.5062,"i/ie","ei","V-short","a/o","Anke(n)"
"31",7.21833,47.50939,"i/ie","ei","V-short","a/o","Butter"
"32",7.3579,47.51688,"i/ie","ei","V-short","a/o","Anke(n)"
"33",7.46966,47.52221,"i/ie","ei","V-short","a/o","Anke(n)"
"34",7.47691,47.52383,"ü","ei","V-short","a/o","Anke(n)"
"35",7.51526,47.52439,"i/ie","ei","V-short","a/o","Anke(n)/Butter"
"36",7.3374,47.5271,"i/ie","ei","V-short","a/o","Anke(n)"
"37",7.22032,47.53456,"i/ie","ei","V-short","a/o","Anke(n)"
"38",7.17622,47.53614,"i/ie","ei","V-short","a/o","Butter"
