"","utm_x","utm_y","l).Hunde","class","n_places","new"
"1",343284.377759018,5296964.04722712,"Hunda","nd",1,"nd"
"2",345169.299328907,5296763.17479467,"Hend","nd",1,"nd"
"3",346010.859566793,5297051.01024576,"Honde","nd",1,"nd"
"4",346355.372491678,5298569.92996541,"Hunda","nd",1,"nd"
"5",347125.191094579,5305270.18431124,"Hunde","nd",1,"nd"
"6",347212.025455936,5295980.44846142,"Hund-da","nd",1,"nd"
"7",347994.741083538,5316244.13693525,"Hind","nd",1,"nd"
"8",348071.595329469,5294241.83235151,"Hend, Hunda","nd",1,"nd"
"9",348089.909331976,5310423.95611396,"Hunda","nd",1,"nd"
"10",348566.280709847,5304108.94709446,"Hund","nd",1,"nd"
"11",348614.712779367,5294173.11924191,"Hunda (Hend)","nd",1,"nd"
"12",348703.633609055,5308290.2998201,"Hind","nd",1,"nd"
"13",349476.371989206,5306727.55741367,"Hunda","nd",1,"nd"
"14",349611.129696505,5305498.48305172,"Hend","nd",1,"nd"
"15",349697.734901068,5292986.1103846,"Hunda","nd",1,"nd"
"16",350829.168746121,5303913.25793804,"Hunda","nd",1,"nd"
"17",351300.792255279,5304967.60330281,"Hunda","nd",1,"nd"
"18",351634.240312944,5277265.00222655,"d'Hunde","nd",1,"nd"
"19",351775.525498242,5291273.37191861,"Hind","nd",1,"nd"
"20",352139.351121064,5421664.05992579,"Hinn ","nn",1,"nn"
"21",352449.045944307,5295428.6896146,"Hund","nd",1,"nd"
"22",352830.341804987,5304132.14990301,"Hunda","nd",1,"nd"
"23",352962.094150253,5424119.40467883,"Hinn ","nn",1,"nn"
"24",353030.550869379,5303149.52528072,"Hund","nd",1,"nd"
"25",353151.378834834,5289074.29137072,"Hund","nd",1,"nd"
"26",353303.758733247,5318621.89971775,"Hund, Hind","nd",1,"nd"
"27",354049.727347358,5302673.29171586,"Hunde","nd",1,"nd"
"28",354148.199010534,5277158.12753732,"Hend","nd",1,"nd"
"29",354186.080078661,5290993.17183467,"Hundå","nd",1,"nd"
"30",354337.281638082,5288532.85479932,"Hunda","nd",1,"nd"
"31",354561.110386197,5293147.80555553,"Hunde","nd",1,"nd"
"32",354590.176822919,5282929.61969288,"Hind","nd",1,"nd"
"33",354827.059945889,5304806.67772925,"Hunda","nd",1,"nd"
"34",354996.600179651,5281400.43659218,"Hund, Hunda","nd",1,"nd"
"35",355319.543460372,5284717.35575957,"Hundä","nd",1,"nd"
"36",355353.170974707,5422852.05624964,"Hunn","nn",1,"nn"
"37",355511.108901866,5294689.8007912,"Hund, Hunda","nd",1,"nd"
"38",355653.110581023,5300709.14070391,"Hunda","nd",1,"nd"
"39",356179.248544774,5319572.3574905,"Huin","nn",1,"nn"
"40",356228.831131974,5317676.11620977,"He-in","nn",1,"nn"
"41",356267.728305008,5299112.48729253,"Hunda","nd",1,"nd"
"42",356374.831793121,5421982.46186667,"Hinn","nn",1,"nn"
"43",356742.982595064,5281279.31647277,"Hund","nd",1,"nd"
"44",356743.712398726,5293440.38845088,"Hunde","nd",1,"nd"
"45",356747.824731759,5277019.09673559,"Heng","ng",1,"ng"
"46",356805.199395851,5425915.55571588,"Hund","nd",1,"nd"
"47",356806.517535832,5286598.75000311,"Hund","nd",1,"nd"
"48",356943.519127835,5290601.99648357,"Hund","nd",1,"nd"
"49",357010.650064144,5415804.0513801,"Hunn","nn",1,"nn"
"50",357395.896774874,5320939.92328753,"Hend","nd",1,"nd"
"51",357450.903183988,5423194.98209716,"Hunn","nn",1,"nn"
"52",357608.400140424,5275539.05563503,"Hunda","nd",1,"nd"
