xcord,ycord,data,NN1,NN2,NN3,NN4,NN5,n1,n2,n3,n4,n5,nSum1,nSum2,nSum3,nSum4,nSum5,nrm,cor
399932.10876882,5428642.20564393,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
406198.170492712,5433923.45893055,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
404518.590226359,5432223.05943372,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
406069.201624757,5431530.52366197,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
413539.511341058,5431020.98394624,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
411468.459971097,5428941.03443273,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
420533.568456218,5432216.13995719,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
423411.839649651,5432134.49785601,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
424685.090515333,5431477.74977222,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
420537.381795907,5430798.46510584,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
420910.441883933,5429885.85998023,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
421780.800997444,5429218.64348191,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
419046.59305503,5428149.32609079,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
415947.22146561,5430096.69616865,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
352962.094150253,5424119.40467883,nn,nn,nn,nn,nd,nn,1,1,1,0,1,1,2,3,3,4,0.8,0.7
352139.351121064,5421664.05992579,nn,nn,nn,nn,nn,nd,1,1,1,1,0,1,2,3,4,4,0.8,0.7
363141.498328134,5429211.61838325,nn,nd,nd,nn,nn,nd,0,0,1,1,0,0,0,1,2,2,0.4,0.1
364683.202374336,5423702.77059711,nn,nn,nn,nd,nd,nn,1,1,0,0,1,1,2,2,2,3,0.6,0.4
362716.698774077,5421281.81015209,nd,nn,nn,nn,nn,nn,0,0,0,0,0,0,0,0,0,0,0,-0.5
359651.258100838,5420531.8734147,nn,nd,nn,nn,nd,ng,0,1,1,0,0,0,1,2,2,2,0.4,0.1
359901.378100787,5422459.79153589,nn,nn,nn,nn,nd,nd,1,1,1,0,0,1,2,3,3,3,0.6,0.4
359901.378100787,5422459.79153589,nn,nn,nn,nn,nd,nd,1,1,1,0,0,1,2,3,3,3,0.6,0.4
356805.199395851,5425915.55571588,nd,nn,nn,nn,nn,nn,0,0,0,0,0,0,0,0,0,0,0,-0.5
357450.903183988,5423194.98209716,nn,nn,nn,nn,nn,nd,1,1,1,1,0,1,2,3,4,4,0.8,0.7
356374.831793121,5421982.46186667,nn,nn,nn,nn,nn,nn,1,1,1,1,1,1,2,3,4,5,1,1
355353.170974707,5422852.05624964,nn,nn,nn,nn,nd,nn,1,1,1,0,1,1,2,3,3,4,0.8,0.7
367631.990109276,5426827.14228867,nd,nn,nn,nn,nn,nn,0,0,0,0,0,0,0,0,0,0,0,-0.5
371139.912295703,5423947.54479883,nn,nd,nd,nn,nd,nn,0,0,1,0,1,0,0,1,1,2,0.4,0.1
366405.700692454,5423779.01204577,nn,nn,nn,nd,nd,nd,1,1,0,0,0,1,2,2,2,2,0.4,0.1
367227.038988961,5422438.0446923,nn,nn,nd,nn,nn,nn,1,0,1,1,1,1,1,2,3,4,0.8,0.7
380776.15634388,5398248.3765615,nn,nd,nd,nd,nd,nd,0,0,0,0,0,0,0,0,0,0,0,-0.5
369270.818857842,5420740.27339382,nd,nn,nn,nd,nd,nn,0,0,1,1,0,0,0,1,2,2,0.4,0.1
378303.571254842,5421305.0102987,nn,nd,nd,nn,nd,nd,0,0,1,0,0,0,0,1,1,1,0.2,-0.2
381410.245452563,5419550.90305374,nd,nd,nn,nd,nd,nd,1,0,1,1,1,1,1,2,3,4,0.8,0.7
387482.588743578,5421049.55763671,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
398081.593159655,5421840.55618973,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
400636.512805789,5422905.17877126,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
400636.512805789,5422905.17877126,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
400636.512805789,5422905.17877126,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
402104.873174248,5420783.12239915,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
414494.212306172,5427397.00222734,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
409376.78237017,5426813.23353743,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
413408.252844195,5423347.66540873,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
362999.836090402,5414792.77972914,nd,nn,nd,nd,nn,nn,0,1,1,0,0,0,1,2,2,2,0.4,0.1
409788.014377911,5422752.53636694,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
412441.806646494,5421863.97837542,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
414104.794686955,5421322.14283813,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
410230.446761275,5420989.69292132,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
408945.667551108,5419876.4287695,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
407998.716383519,5421187.37039188,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
406397.390151392,5421926.81733289,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
405076.779632121,5423899.51709883,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
407319.360050893,5424684.49838274,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
423332.532410502,5427185.67389001,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
419538.182150523,5426482.17826176,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
422162.142179568,5425062.7722132,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
426039.287131697,5424301.59069798,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
422628.87333646,5422835.92021025,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
425488.85909745,5420643.2758143,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
426202.895907671,5419581.98809765,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
422914.312800171,5419548.7265828,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
422445.200158948,5419954.38845552,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
421095.847292637,5418463.48208837,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
420323.142882689,5420898.29206768,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
420441.892821202,5422696.66496419,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
418175.416066671,5421145.15801783,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
416232.362325339,5420721.54315424,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
417880.919301003,5422531.53223941,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
417361.320069043,5423637.74594517,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
418188.203523164,5424154.76102958,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
418254.435765673,5425422.41708591,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
417354.021188869,5426543.15401507,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
415591.546305294,5424013.46012678,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
415086.878967162,5421263.70538689,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
359051.705563588,5419287.94108979,nd,nd,nn,ng,nn,nn,1,0,0,0,0,1,1,1,1,1,0.2,-0.2
358553.885654518,5418190.52336006,nd,nd,nd,nn,nn,nn,1,1,0,0,0,1,2,2,2,2,0.4,0.1
361657.06878698,5418217.13606957,ng,nn,nd,nn,nn,nd,0,0,0,0,0,0,0,0,0,0,0,-0.5
364093.720557857,5419090.29987748,nn,nn,nn,nd,ng,nd,1,1,0,0,0,1,2,2,2,2,0.4,0.1
364639.468938525,5417413.137136,nn,nd,nn,nn,ng,nd,0,1,1,0,0,0,1,2,2,2,0.4,0.1
364934.562542934,5415942.31139432,nd,nn,nd,nn,nn,nn,0,1,0,0,0,0,1,1,1,1,0.2,-0.2
362999.699537875,5414787.22198662,nn,nd,nd,nd,nn,nn,0,0,0,1,1,0,0,0,1,2,0.4,0.1
361854.033129342,5413558.67063933,nd,nn,nd,nn,nn,nn,0,1,0,0,0,0,1,1,1,1,0.2,-0.2
365012.678251284,5412956.38197966,nn,nn,nn,nd,nd,nd,1,1,0,0,0,1,2,2,2,2,0.4,0.1
359453.059399726,5411151.68827363,nn,nn,nd,nn,nd,nn,1,0,1,0,1,1,1,2,2,3,0.6,0.4
358945.10520828,5415771.44899364,nn,nd,nn,nd,nd,ng,0,1,0,0,0,0,1,1,1,1,0.2,-0.2
358945.10520828,5415771.44899364,nd,nn,nn,nd,nd,ng,0,0,1,1,0,0,0,1,2,2,0.4,0.1
357010.650064144,5415804.0513801,nn,nd,nn,nd,nd,ng,0,1,0,0,0,0,1,1,1,1,0.2,-0.2
376514.704256147,5419178.01337904,nd,nn,nd,nn,nd,nd,0,1,0,1,1,0,1,1,2,3,0.6,0.4
374587.796296805,5418536.00754492,nn,nd,nd,nd,nd,nn,0,0,0,0,1,0,0,0,0,1,0.2,-0.2
373969.837713887,5418603.34008021,nd,nn,nd,nd,nd,nn,0,1,1,1,0,0,1,2,3,3,0.6,0.4
371911.78521983,5419901.46806712,nd,nd,nd,nd,nn,nn,1,1,1,0,0,1,2,3,3,3,0.6,0.4
371750.047978872,5418352.62339816,nd,nd,nn,nd,nn,nn,1,0,1,0,0,1,1,2,2,2,0.4,0.1
372070.021857441,5416705.95640552,nn,nd,nd,nd,nn,nn,0,0,0,1,1,0,0,0,1,2,0.4,0.1
373042.397129198,5414351.56519312,nd,nd,nn,nn,nn,ng,1,0,0,0,0,1,1,1,1,1,0.2,-0.2
376831.283697007,5413101.1096336,nd,nd,nd,ng,nd,nd,1,1,0,1,1,1,2,2,3,4,0.8,0.7
368350.200387987,5418409.70603465,nn,nn,nn,nd,nn,nd,1,1,0,1,0,1,2,2,3,3,0.6,0.4
367873.8861567,5416967.36085205,nn,nn,nn,nn,nn,nd,1,1,1,1,0,1,2,3,4,4,0.8,0.7
369482.882169226,5415682.70007016,nn,nn,nn,nn,nn,nn,1,1,1,1,1,1,2,3,4,5,1,1
367245.322868003,5414161.79956546,nn,nn,nn,nn,nn,nd,1,1,1,1,0,1,2,3,4,4,0.8,0.7
370261.772588146,5413975.1483556,nn,nd,nn,nd,nn,nn,0,1,0,1,1,0,1,1,2,3,0.6,0.4
371162.412604783,5413100.14021761,nd,nn,nd,nn,nn,ng,0,1,0,0,0,0,1,1,1,1,0.2,-0.2
368429.463506793,5411573.52288986,nn,nd,nn,nn,nd,nn,0,1,1,0,1,0,1,2,2,3,0.6,0.4
366364.087046689,5417955.40618486,nn,nn,nn,nn,nd,nn,1,1,1,0,1,1,2,3,3,4,0.8,0.7
388783.328143805,5419851.32986727,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
384198.015812423,5418693.76065368,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
379720.003417554,5414893.03498462,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
385627.732678376,5414351.70616868,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
388565.938721624,5414475.70192486,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
389611.540770512,5412934.78609932,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
388971.884589417,5411430.69442975,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
387477.554815412,5411829.81075683,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
386304.351853961,5412132.70802939,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
383613.604730582,5412326.0730593,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
396717.741531873,5419476.07262758,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
393238.531221175,5418497.54036902,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
392193.46995458,5418013.93586974,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
392981.263152089,5416589.84668453,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
393893.039112546,5415377.02570952,nd,nd,nd,nd,ng,nd,1,1,1,0,1,1,2,3,3,4,0.8,0.7
398466.805358281,5415605.41694267,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
399745.701948134,5417846.19774111,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
401748.31244449,5417930.60352703,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
400165.462211534,5414803.04562075,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
398715.751489186,5412676.4562131,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
399350.005036072,5411515.22884471,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
399227.692326948,5411162.72613528,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
397929.221218166,5411071.78781577,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
397122.491339879,5413093.68086511,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
393615.261469617,5412270.98897606,ng,nd,ng,nd,nd,nd,0,1,0,0,0,0,1,1,1,1,0.2,-0.2
391861.665657817,5414399.69534831,nd,nd,nd,nd,ng,nd,1,1,1,0,1,1,2,3,3,4,0.8,0.7
392831.86357174,5411216.24976876,nd,ng,ng,ng,nd,nd,0,0,0,1,1,0,0,0,1,2,0.4,0.1
397929.221218166,5411071.78781577,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
409496.585974262,5418835.60498321,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
406001.185433241,5418415.39040277,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
405792.165852561,5416586.48796962,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
407865.142616071,5417142.24655967,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
408049.732223986,5416156.27807672,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
409701.030691852,5416709.68430366,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
411464.872084564,5417032.73368719,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
411252.824982917,5415547.29941564,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
407346.912824788,5414277.68702376,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
406180.509683849,5415092.20225998,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
403140.756513807,5413021.52410857,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
403135.530290011,5416098.31001943,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
421095.847292637,5418463.48208837,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
418245.162594865,5418462.35212383,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
415671.360926071,5418069.33006099,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
417675.090191159,5417177.67021208,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
419242.905968439,5416768.91532883,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
420578.597703617,5416775.28863453,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
420621.315498531,5416737.98945267,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
423481.171630013,5417132.70265829,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
425085.068544022,5417035.30157481,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
408775.521536035,5415211.47209426,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
357755.54633988,5409624.17762135,nn,nn,nd,nn,nn,nd,1,0,1,1,0,1,1,2,3,3,0.6,0.4
374894.214365494,5408031.82659233,nd,nd,nn,ng,nd,nd,1,0,0,1,1,1,1,1,2,3,0.6,0.4
373810.53823151,5408799.08928,nd,nd,ng,nn,nd,nd,1,0,0,1,1,1,1,1,2,3,0.6,0.4
372915.920477443,5410439.73878412,ng,nd,nd,nd,nd,nn,0,0,0,0,0,0,0,0,0,0,0,-0.5
370516.54618911,5409964.37121022,nd,ng,nn,nn,nd,nd,0,0,0,1,1,0,0,0,1,2,0.4,0.1
372102.289899948,5407289.85144086,nn,nd,nd,nd,ng,nn,0,0,0,0,1,0,0,0,0,1,0.2,-0.2
388327.376406832,5409149.46844284,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
388327.376406832,5409149.46844284,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
388371.931883658,5407520.59607807,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
386474.391380919,5406559.11460135,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
385266.473210791,5407907.09030423,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
382811.525661695,5409110.11978753,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
382621.287916881,5407114.64791169,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
384238.804424402,5405485.14308153,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
381030.826479982,5405312.26662469,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
379542.420094449,5403107.76350497,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
379270.484328014,5402905.66703978,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
383414.035305845,5403069.13991282,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
386165.627638315,5402792.31617251,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
387312.195136167,5401250.1151413,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
388281.617538822,5403660.40792485,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
401296.224252921,5409401.16591601,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
399206.565367194,5408324.32489014,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
396056.210398828,5407717.09792036,nd,ng,ng,nd,ng,nd,0,0,1,0,1,0,0,1,1,2,0.4,0.1
394241.218565895,5408475.0452022,ng,ng,ng,nd,nd,nd,1,1,0,0,0,1,2,2,2,2,0.4,0.1
394297.04077611,5409795.00979247,ng,ng,nd,ng,nd,ng,1,0,1,0,1,1,1,2,2,3,0.6,0.4
392099.859251757,5407744.27570368,nd,ng,nd,nd,ng,nd,0,1,1,0,1,0,1,2,2,3,0.6,0.4
393837.578808183,5407094.96084312,ng,ng,nd,nd,nd,nd,1,0,0,0,0,1,1,1,1,1,0.2,-0.2
400324.310832689,5406358.39699148,nd,nd,nd,nn,nd,nd,1,1,0,1,1,1,2,2,3,4,0.8,0.7
398585.360197543,5404558.31388348,nn,nd,nd,nd,ng,nd,0,0,0,0,0,0,0,0,0,0,0,-0.5
396798.592208552,5405366.02069948,nd,nn,nd,nd,ng,nd,0,1,1,0,1,0,1,2,2,3,0.6,0.4
393310.398503878,5405602.72498739,nd,ng,nd,nd,ng,nd,0,1,1,0,1,0,1,2,2,3,0.6,0.4
391699.621158092,5405583.650691,nd,nd,ng,nd,nd,ng,1,0,1,1,0,1,1,2,3,3,0.6,0.4
391699.621158092,5405583.650691,nd,nd,ng,nd,nd,ng,1,0,1,1,0,1,1,2,3,3,0.6,0.4
392132.795290876,5404387.68632741,ng,nd,nd,nd,nd,nd,0,0,0,0,0,0,0,0,0,0,0,-0.5
394203.695337233,5404162.43982474,nd,nd,ng,nd,nd,nd,1,0,1,1,1,1,1,2,3,4,0.8,0.7
391210.447162346,5401734.5718911,nd,nd,nd,nd,ng,nd,1,1,1,0,1,1,2,3,3,4,0.8,0.7
391210.447162346,5401734.5718911,nd,nd,nd,nd,ng,nd,1,1,1,0,1,1,2,3,3,4,0.8,0.7
394903.398918062,5401468.32851292,nd,ng,nd,nd,nd,nd,0,1,1,1,1,0,1,2,3,4,0.8,0.7
397088.769503907,5401288.74338168,ng,nd,nd,ng,nn,nd,0,0,1,0,0,0,0,1,1,1,0.2,-0.2
401570.313081085,5404202.55160374,nd,nd,nd,nd,nn,nd,1,1,1,0,1,1,2,3,3,4,0.8,0.7
402663.118508609,5408346.42946934,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
404583.154136243,5407357.07121224,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
407158.011026326,5408385.56347303,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
411073.047004995,5407525.77925132,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
397999.11993752,5411483.04376612,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
410023.183632751,5400776.88553751,ng,ng,nd,nd,ng,nd,1,0,0,1,0,1,1,1,2,2,0.4,0.1
407304.09283002,5402889.32235666,nd,nd,nd,nd,ng,nd,1,1,1,0,1,1,2,3,3,4,0.8,0.7
406429.246838622,5401246.06508841,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
405512.182351381,5401226.99655719,nd,nd,nd,nd,nd,ng,1,1,1,1,0,1,2,3,4,4,0.8,0.7
403778.385664636,5401083.06603673,nd,nd,nd,ng,nd,nd,1,1,0,1,1,1,2,2,3,4,0.8,0.7
403378.962439054,5401922.75593594,nd,nd,nd,nd,nd,ng,1,1,1,1,0,1,2,3,4,4,0.8,0.7
402863.288831477,5403679.59352843,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
404972.643251352,5404174.85641858,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
404722.334360684,5405311.02488948,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
423617.684777081,5409056.86140217,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
420649.899160642,5406519.93486986,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
419637.379909067,5405971.81956621,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
416496.785370333,5403954.28440858,nd,nd,nd,nd,nd,ng,1,1,1,1,0,1,2,3,4,4,0.8,0.7
416167.426527336,5402322.59654519,nd,nd,nd,ng,nd,nd,1,1,0,1,1,1,2,2,3,4,0.8,0.7
419550.551550728,5400900.97744454,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
411073.047004995,5407525.77925132,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
425671.177517214,5402789.80388343,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
360525.628716431,5436059.39343292,nd,nd,nn,nd,nd,nn,1,0,1,1,0,1,1,2,3,3,0.6,0.4
359870.578045415,5430847.08350483,nd,nn,nd,nd,nn,nn,0,1,1,0,0,0,1,2,2,2,0.4,0.1
370680.310051967,5333158.66858765,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
373577.647700273,5336112.93643195,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
375261.009225792,5335224.18735161,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
371825.280553393,5327313.89629302,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
372335.662434711,5329722.16597938,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
371644.474345626,5328821.33971211,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
372553.656105096,5332889.78904875,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
375343.151343667,5333770.17058172,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
373775.528048467,5332437.93116611,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
373958.994258015,5328089.43347195,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
372367.339530999,5331577.35426328,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
375114.688921384,5334315.56880283,nd,nd,nd,nd,nd,nd,1,1,1,1,1,1,2,3,4,5,1,1
