hunde,X,Y
Hund,399932.10876882,5428642.20564393
Hund,406198.170492712,5433923.45893055
Hund,404518.590226359,5432223.05943372
Hund,406069.201624757,5431530.52366197
Hund,413539.511341058,5431020.98394624
Hund,411468.459971097,5428941.03443273
Hunde,420533.568456218,5432216.13995719
Hind,423411.839649651,5432134.49785601
Hund,424685.090515333,5431477.74977222
Hund,420537.381795907,5430798.46510584
Hund,420910.441883933,5429885.85998023
Hund,421780.800997444,5429218.64348191
Hund,419046.59305503,5428149.32609079
Hund,415947.22146561,5430096.69616865
Hinn ,352962.094150253,5424119.40467883
Hinn ,352139.351121064,5421664.05992579
"H¡ͤnn , Hunn",363141.498328134,5429211.61838325
"2 Hunn, 1 Hund",392891.249355793,5390104.47202838
Hunn,364683.202374336,5423702.77059711
Hund,362716.698774077,5421281.81015209
Hunn,359651.258100838,5420531.8734147
Hienn,359901.378100787,5422459.79153589
Hinn ,359901.378100787,5422459.79153589
Hund,356805.199395851,5425915.55571588
Hunn,357450.903183988,5423194.98209716
Hinn,356374.831793121,5421982.46186667
Hunn,355353.170974707,5422852.05624964
Hund,367631.990109276,5426827.14228867
"Hund, Hunn",369770.068627355,5425752.28156856
Hunn,371139.912295703,5423947.54479883
Hunn,366405.700692454,5423779.01204577
Hunn,367227.038988961,5422438.0446923
Hunn,380776.15634388,5398248.3765615
Hund,369270.818857842,5420740.27339382
Hinn,378303.571254842,5421305.0102987
Hünd,381410.245452563,5419550.90305374
Hund,387482.588743578,5421049.55763671
Hind,398081.593159655,5421840.55618973
"Hund, Hend",400636.512805789,5422905.17877126
Hůnd,400636.512805789,5422905.17877126
Hend,400636.512805789,5422905.17877126
Hund,402104.873174248,5420783.12239915
Hund,414494.212306172,5427397.00222734
Hund,409376.78237017,5426813.23353743
Hund,413408.252844195,5423347.66540873
Hund,362999.836090402,5414792.77972914
Hu̽nd,409788.014377911,5422752.53636694
Hynd,412441.806646494,5421863.97837542
Hund,414104.794686955,5421322.14283813
Hund,410230.446761275,5420989.69292132
Hund,408945.667551108,5419876.4287695
Hund,407998.716383519,5421187.37039188
Hund,406397.390151392,5421926.81733289
Hund,405076.779632121,5423899.51709883
"Hund, Hind(e)",407319.360050893,5424684.49838274
Hund,423332.532410502,5427185.67389001
Hund,419538.182150523,5426482.17826176
Hund,422162.142179568,5425062.7722132
Hund,426039.287131697,5424301.59069798
Hund,422628.87333646,5422835.92021025
Hund,425488.85909745,5420643.2758143
"Hund, 3 Hund",426202.895907671,5419581.98809765
Hund,422914.312800171,5419548.7265828
"Hund, Hund",422445.200158948,5419954.38845552
Hund,421095.847292637,5418463.48208837
Hund,420323.142882689,5420898.29206768
Hund,420441.892821202,5422696.66496419
Hund,418175.416066671,5421145.15801783
Hund,416232.362325339,5420721.54315424
Hund,417880.919301003,5422531.53223941
Hund,417361.320069043,5423637.74594517
Hund,418188.203523164,5424154.76102958
Hund,418254.435765673,5425422.41708591
Hund,417354.021188869,5426543.15401507
Hund,415591.546305294,5424013.46012678
Hund,415086.878967162,5421263.70538689
Hund,359051.705563588,5419287.94108979
Hund,358553.885654518,5418190.52336006
He(i)ng,361657.06878698,5418217.13606957
Hünn ,364093.720557857,5419090.29987748
Hinn,364639.468938525,5417413.137136
Hünde,364934.562542934,5415942.31139432
Hunn,362999.699537875,5414787.22198662
Hund,361854.033129342,5413558.67063933
Hun,365012.678251284,5412956.38197966
Hun,359453.059399726,5411151.68827363
Hunn,358945.10520828,5415771.44899364
Hund,358945.10520828,5415771.44899364
Hunn,357010.650064144,5415804.0513801
Hend,376514.704256147,5419178.01337904
Hůnn,374587.796296805,5418536.00754492
Hund,373969.837713887,5418603.34008021
Hund,371911.78521983,5419901.46806712
Hund,371750.047978872,5418352.62339816
Hunn,372070.021857441,5416705.95640552
Hund,373042.397129198,5414351.56519312
Hund,376831.283697007,5413101.1096336
Hunn,368350.200387987,5418409.70603465
Hun,367873.8861567,5416967.36085205
"Hund, Hunn",366575.391493394,5416398.83050642
Hunn,369482.882169226,5415682.70007016
Hun,367245.322868003,5414161.79956546
Hunn,370261.772588146,5413975.1483556
Hund,371162.412604783,5413100.14021761
Hunn,368429.463506793,5411573.52288986
Hinn ,366364.087046689,5417955.40618486
Hend,388783.328143805,5419851.32986727
"Hund, Hend",384198.015812423,5418693.76065368
"Hund, Hun",378745.524825128,5417608.74774427
Hund,379720.003417554,5414893.03498462
Heinnd,383811.327057805,5415053.15245734
Hind,385627.732678376,5414351.70616868
Hend,388565.938721624,5414475.70192486
Hund,389611.540770512,5412934.78609932
Hund,388971.884589417,5411430.69442975
Hend,387477.554815412,5411829.81075683
Hénd,386304.351853961,5412132.70802939
Hund,383613.604730582,5412326.0730593
Hend,396717.741531873,5419476.07262758
Hēnd,393238.531221175,5418497.54036902
Hend,392193.46995458,5418013.93586974
Hund,392981.263152089,5416589.84668453
Hund,393893.039112546,5415377.02570952
Hennd,395807.253071184,5414911.69815021
Hund,398466.805358281,5415605.41694267
Hůnt,399745.701948134,5417846.19774111
Hund,401748.31244449,5417930.60352703
Hund,400165.462211534,5414803.04562075
Hend,398715.751489186,5412676.4562131
Hend,399350.005036072,5411515.22884471
Hend,399227.692326948,5411162.72613528
Hund,397929.221218166,5411071.78781577
Hünd,397122.491339879,5413093.68086511
Hung,393615.261469617,5412270.98897606
Hund,391861.665657817,5414399.69534831
Hund,392831.86357174,5411216.24976876
Hund,397929.221218166,5411071.78781577
Hund,409496.585974262,5418835.60498321
"Hund, Hind",406001.185433241,5418415.39040277
Hind,405792.165852561,5416586.48796962
Hund,407865.142616071,5417142.24655967
Hunde,408049.732223986,5416156.27807672
"Hund, Hend",409701.030691852,5416709.68430366
Hund  ,411464.872084564,5417032.73368719
"Hund, e paår Hund",411252.824982917,5415547.29941564
Hend,407346.912824788,5414277.68702376
"Hund, Hind",406180.509683849,5415092.20225998
Hend,403140.756513807,5413021.52410857
Hund ,403135.530290011,5416098.31001943
Hūnd,421095.847292637,5418463.48208837
Hunde,418245.162594865,5418462.35212383
Hund,415671.360926071,5418069.33006099
Hund,417675.090191159,5417177.67021208
Hund,419242.905968439,5416768.91532883
Hund,420578.597703617,5416775.28863453
"Hund, Hund",420621.315498531,5416737.98945267
Hund,423481.171630013,5417132.70265829
Hund,425085.068544022,5417035.30157481
Hind,408775.521536035,5415211.47209426
"Hund, Hunn",361551.186089832,5411053.65784215
Hunn,357755.54633988,5409624.17762135
"Hund, Hunn",361174.442512514,5408213.49286059
"Hund,  Hunn",359179.850772327,5406602.8334987
Hund,374894.214365494,5408031.82659233
Hund,373810.53823151,5408799.08928
Hung,372915.920477443,5410439.73878412
Hund,370516.54618911,5409964.37121022
Hunn,372102.289899948,5407289.85144086
Hund,388327.376406832,5409149.46844284
Hund,388327.376406832,5409149.46844284
Hind,388371.931883658,5407520.59607807
Hond,386474.391380919,5406559.11460135
Hend,385266.473210791,5407907.09030423
Hund,382811.525661695,5409110.11978753
Hend,382621.287916881,5407114.64791169
Hund,384238.804424402,5405485.14308153
Hind,381030.826479982,5405312.26662469
Hend,379542.420094449,5403107.76350497
